Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
195105,0.05
195106,0.03
195107,0.10
195108,0.11
195109,0.13
195110,0.10
195111,0.02
195112,0.21
195201,0.15
195202,0.09
195203,-0.05
195204,0.06
195205,0.03
195206,0.04
195207,0.07
195208,0.06
195209,0.06
195210,-0.04
195211,-0.20
195212,-0.01
195301,0.10
195302,0.15
195303,0.15
195304,0.18
195305,0.14
195306,0.12
195307,0.06
195308,0.07
195309,0.06
195310,0.07
195311,-0.07
195312,0.05
195401,-0.24
195402,-0.09
195403,-0.10
195404,-0.18
195405,-0.21
195406,-0.12
195407,-0.13
195408,-0.09
195409,-0.06
195410,-0.08
195411,0.03
195412,-0.19
195501,0.08
195502,-0.14
195503,-0.31
195504,-0.24
195505,-0.13
195506,-0.07
195507,-0.09
195508,-0.03
195509,-0.10
195510,-0.13
195511,-0.24
195512,-0.28
195601,-0.18
195602,-0.28
195603,-0.21
195604,-0.29
195605,-0.23
195606,-0.15
195607,-0.14
195608,-0.19
195609,-0.26
195610,-0.21
195611,-0.16
195612,-0.16
195701,-0.13
195702,-0.12
195703,-0.07
195704,-0.03
195705,0.10
195706,0.15
195707,0.05
195708,0.12
195709,0.07
195710,0.01
195711,0.12
195712,0.22
195801,0.29
195802,0.20
195803,0.11
195804,0.11
195805,0.10
195806,0.06
195807,0.06
195808,0.05
195809,0.01
195810,0.04
195811,0.09
195812,0.14
195901,0.12
195902,0.06
195903,0.20
195904,0.11
195905,0.02
195906,0.08
195907,0.06
195908,0.05
195909,0.09
195910,-0.02
195911,-0.08
195912,-0.04
196001,-0.00
196002,0.18
196003,-0.21
196004,-0.10
196005,-0.09
196006,0.07
196007,0.03
196008,0.04
196009,0.06
196010,0.03
196011,-0.05
196012,0.22
196101,0.12
196102,0.17
196103,0.16
196104,0.13
196105,0.16
196106,0.15
196107,0.03
196108,0.03
196109,-0.01
196110,-0.04
196111,0.01
196112,-0.02
196201,0.13
196202,0.17
196203,0.12
196204,0.08
196205,0.06
196206,0.06
196207,0.09
196208,0.05
196209,0.06
196210,0.08
196211,0.07
196212,0.09
196301,0.04
196302,0.26
196303,-0.03
196304,-0.00
196305,0.01
196306,0.05
196307,0.14
196308,0.16
196309,0.16
196310,0.21
196311,0.19
196312,0.08
196401,0.05
196402,-0.11
196403,-0.14
196404,-0.19
196405,-0.10
196406,-0.09
196407,-0.11
196408,-0.17
196409,-0.21
196410,-0.27
196411,-0.20
196412,-0.26
196501,-0.07
196502,-0.20
196503,-0.10
196504,-0.19
196505,-0.08
196506,-0.04
196507,-0.08
196508,-0.05
196509,-0.05
196510,0.02
196511,-0.09
196512,-0.01
196601,-0.05
196602,-0.04
196603,-0.00
196604,-0.09
196605,-0.04
196606,0.06
196607,0.07
196608,0.02
196609,0.02
196610,-0.06
196611,-0.05
196612,-0.13
196701,-0.11
196702,-0.17
196703,0.00
196704,0.00
196705,0.12
196706,-0.03
196707,-0.02
196708,-0.01
196709,-0.03
196710,0.13
196711,-0.03
196712,-0.04
196801,-0.19
196802,-0.13
196803,0.15
196804,-0.07
196805,-0.08
196806,-0.02
196807,-0.02
196808,-0.02
196809,-0.01
196810,0.04
196811,0.01
196812,-0.05
196901,-0.13
196902,-0.11
196903,0.12
196904,0.19
196905,0.17
196906,0.08
196907,0.09
196908,0.09
196909,0.08
196910,0.07
196911,0.19
196912,0.24
197001,0.12
197002,0.23
197003,0.03
197004,0.13
197005,0.04
197006,0.03
197007,-0.02
197008,-0.02
197009,0.01
197010,-0.04
197011,0.02
197012,-0.10
197101,-0.01
197102,-0.22
197103,-0.14
197104,-0.13
197105,-0.09
197106,-0.13
197107,-0.06
197108,-0.07
197109,-0.04
197110,-0.08
197111,0.04
197112,-0.02
197201,-0.24
197202,-0.16
197203,0.00
197204,0.04
197205,0.02
197206,0.08
197207,0.06
197208,0.09
197209,0.02
197210,0.09
197211,0.08
197212,0.25
197301,0.26
197302,0.37
197303,0.33
197304,0.25
197305,0.22
197306,0.20
197307,0.12
197308,0.08
197309,0.06
197310,0.04
197311,0.02
197312,0.03
197401,-0.20
197402,-0.25
197403,-0.05
197404,-0.04
197405,-0.02
197406,-0.04
197407,0.02
197408,0.01
197409,-0.04
197410,-0.08
197411,-0.07
197412,-0.10
197501,0.12
197502,0.03
197503,0.11
197504,0.08
197505,0.07
197506,0.04
197507,0.00
197508,-0.07
197509,0.02
197510,-0.12
197511,-0.14
197512,-0.09
197601,-0.02
197602,-0.12
197603,-0.24
197604,-0.02
197605,-0.12
197606,-0.08
197607,-0.09
197608,-0.09
197609,-0.04
197610,-0.18
197611,-0.04
197612,0.09
197701,0.06
197702,0.24
197703,0.31
197704,0.28
197705,0.24
197706,0.25
197707,0.17
197708,0.14
197709,0.19
197710,0.12
197711,0.26
197712,0.11
197801,0.16
197802,0.13
197803,0.22
197804,0.13
197805,0.06
197806,0.05
197807,0.07
197808,0.01
197809,0.08
197810,0.06
197811,0.23
197812,0.15
197901,0.16
197902,0.09
197903,0.24
197904,0.11
197905,0.16
197906,0.22
197907,0.18
197908,0.23
197909,0.25
197910,0.30
197911,0.30
197912,0.50
198001,0.31
198002,0.35
198003,0.24
198004,0.31
198005,0.32
198006,0.25
198007,0.22
198008,0.20
198009,0.20
198010,0.18
198011,0.33
198012,0.27
198101,0.47
198102,0.36
198103,0.41
198104,0.36
198105,0.27
198106,0.29
198107,0.23
198108,0.24
198109,0.19
198110,0.17
198111,0.22
198112,0.43
198201,0.14
198202,0.16
198203,0.09
198204,0.21
198205,0.19
198206,0.13
198207,0.14
198208,0.14
198209,0.23
198210,0.18
198211,0.15
198212,0.44
198301,0.52
198302,0.48
198303,0.43
198304,0.30
198305,0.29
198306,0.27
198307,0.27
198308,0.32
198309,0.32
198310,0.21
198311,0.43
198312,0.28
198401,0.28
198402,0.18
198403,0.27
198404,0.15
198405,0.28
198406,0.13
198407,0.12
198408,0.17
198409,0.14
198410,0.12
198411,0.04
198412,-0.09
198501,0.18
198502,0.02
198503,0.19
198504,0.15
198505,0.20
198506,0.13
198507,0.08
198508,0.13
198509,0.10
198510,0.13
198511,0.12
198512,0.20
198601,0.33
198602,0.28
198603,0.30
198604,0.26
198605,0.25
198606,0.25
198607,0.17
198608,0.17
198609,0.17
198610,0.21
198611,0.16
198612,0.22
198701,0.31
198702,0.50
198703,0.26
198704,0.30
198705,0.34
198706,0.30
198707,0.42
198708,0.38
198709,0.43
198710,0.34
198711,0.33
198712,0.53
198801,0.55
198802,0.39
198803,0.49
198804,0.45
198805,0.38
198806,0.39
198807,0.34
198808,0.32
198809,0.32
198810,0.30
198811,0.23
198812,0.36
198901,0.22
198902,0.31
198903,0.34
198904,0.29
198905,0.28
198906,0.28
198907,0.30
198908,0.30
198909,0.30
198910,0.30
198911,0.25
198912,0.40
199001,0.36
